project_id,project_name,client_name,start_date,end_date,status,region,industry,description
25,Project Phoenix Analytics,Deutsche Telekom,2023-06-21,2024-08-04,Cancelled,North America,Insurance,Global ERP rollout
26,Project Phoenix Enhancement,AT&T,2020-08-26,2020-12-12,Proposed,Middle East,Telecom,Analytics dashboards
27,Project Phoenix Upgrade,Banco Santander,2020-06-06,2021-11-12,Cancelled,Europe,Energy,Cloud migration project
28,Project Nova Integration,Walmart,2020-04-16,2022-02-17,Completed,Europe,Banking,Global ERP rollout
29,Project Gemini Analytics,American Express,2022-07-13,2023-08-18,Proposed,Europe,Automotive,Global ERP rollout
30,Project Phoenix Enhancement,Apple,2020-11-23,2022-10-13,On Track,Latin America,Retail,Mobile app redevelopment
31,Project Nova Migration,Apple,2022-03-27,2025-03-08,Delayed,Africa,Technology,E-commerce platform integration
32,Project Titan Enhancement,HSBC,2023-09-29,2024-04-01,Completed,Middle East,Automotive,Mobile app redevelopment
33,Project Atlas Analytics,HSBC,2021-08-30,2022-11-22,Delayed,Middle East,Banking,Analytics dashboards
34,Project Titan Migration,Novartis,2020-07-23,2021-03-02,Completed,APAC,Automotive,E-commerce platform integration
35,Project Vantage Upgrade,Vodafone,2021-11-22,2025-05-13,Proposed,Latin America,Banking,Mobile app redevelopment
36,Project Gemini Upgrade,Vodafone,2023-10-02,2024-01-21,Proposed,Africa,Retail,Analytics dashboards
37,Project Helios Migration,Banco Santander,2022-08-05,2024-04-12,Proposed,Latin America,Telecom,E-commerce platform integration
38,Project Vantage Analytics,Ford,2021-11-22,2024-07-17,Delayed,Latin America,Energy,Cloud migration project
39,Project Titan Enhancement,Repsol,2023-08-12,2025-10-31,Completed,Middle East,Automotive,E-commerce platform integration
40,Project Phoenix Upgrade,Amazon,2023-03-23,2023-05-08,Cancelled,APAC,Technology,Core banking overhaul
41,Project Atlas Migration,Samsung,2023-09-27,2025-04-14,On Track,Middle East,Insurance,Cloud migration project
42,Project Nova Analytics,Emirates,2023-04-17,2024-05-27,Delayed,Latin America,Banking,E-commerce platform integration
43,Project Orion Migration,American Express,2023-09-14,2024-09-11,Proposed,APAC,Technology,Analytics dashboards
44,Project Titan Analytics,Coca-Cola,2020-05-28,2024-08-25,Proposed,North America,Telecom,Data center consolidation
45,Project Phoenix Enhancement,Emirates,2023-02-17,2024-01-06,Completed,North America,Healthcare,Analytics dashboards
46,Project Phoenix Enhancement,Nestle,2023-03-05,2023-11-16,Completed,Europe,Technology,Core banking overhaul
47,Project Atlas Analytics,American Express,2023-09-10,2024-11-23,On Track,APAC,Healthcare,E-commerce platform integration
48,Project Helios Integration,Sony,2020-01-08,2023-03-01,Cancelled,Latin America,Automotive,Data center consolidation
49,Project Orion Enhancement,Wells Fargo,2021-01-15,2025-12-17,Cancelled,Europe,Technology,Mobile app redevelopment
50,Project Phoenix Analytics,Emirates,2021-02-10,2025-12-10,Completed,North America,Automotive,Core banking overhaul
51,Project Atlas Enhancement,Novartis,2020-03-07,2025-05-16,Cancelled,Europe,Banking,Core banking overhaul
52,Project Atlas Migration,Banco Santander,2022-02-27,2022-06-10,Completed,Africa,Technology,Mobile app redevelopment
53,Project Helios Analytics,Samsung,2021-05-03,2021-12-03,On Track,APAC,Banking,Core banking overhaul
54,Project Helios Integration,Microsoft,2023-11-21,2024-11-27,Delayed,APAC,Banking,Upgrading legacy systems
55,Project Vantage Enhancement,Visa,2023-03-02,2023-04-03,Proposed,APAC,Banking,E-commerce platform integration
56,Project Nova Enhancement,JP Morgan Chase,2023-07-01,2023-08-12,Cancelled,Europe,Energy,Analytics dashboards
57,Project Gemini Upgrade,Visa,2020-11-23,2024-06-10,Proposed,Europe,Banking,Global ERP rollout
58,Project Phoenix Expansion,Amazon,2023-02-24,2025-07-29,Cancelled,APAC,Healthcare,Cloud migration project
59,Project Nova Analytics,JP Morgan Chase,2022-08-17,2025-05-18,On Track,Latin America,Insurance,Core banking overhaul
60,Project Titan Analytics,SAP,2023-02-15,2024-03-20,Proposed,North America,Healthcare,Analytics dashboards
61,Project Helios Integration,Novartis,2022-10-23,2024-11-08,Delayed,Europe,Banking,Global ERP rollout
62,Project Gemini Enhancement,Apple,2023-12-04,2024-01-29,Cancelled,North America,Insurance,Analytics dashboards
63,Project Orion Upgrade,Visa,2022-11-18,2024-09-18,Delayed,North America,Retail,Cloud migration project
64,Project Gemini Migration,British Telecom,2023-05-13,2025-07-26,Cancelled,Europe,Technology,Core banking overhaul
65,Project Nova Analytics,Deutsche Telekom,2021-05-23,2023-06-10,Proposed,APAC,Healthcare,E-commerce platform integration
66,Project Atlas Migration,Visa,2021-06-19,2022-03-24,Proposed,Europe,Energy,Mobile app redevelopment
67,Project Orion Migration,British Telecom,2023-10-31,2025-11-03,Delayed,Latin America,Telecom,Analytics dashboards
68,Project Phoenix Expansion,Coca-Cola,2020-03-07,2022-03-22,Proposed,Africa,Technology,Core banking overhaul
69,Project Gemini Upgrade,Walmart,2023-08-14,2024-04-26,Delayed,APAC,Telecom,Cloud migration project
70,Project Titan Integration,Apple,2020-08-11,2024-03-30,Completed,Europe,Automotive,Upgrading legacy systems
71,Project Nova Analytics,HSBC,2020-08-03,2024-11-21,Proposed,Middle East,Energy,Data center consolidation
72,Project Orion Expansion,Microsoft,2022-10-08,2025-02-14,On Track,Europe,Insurance,Global ERP rollout
73,Project Helios Migration,Novartis,2023-07-08,2025-11-26,Proposed,Middle East,Banking,Analytics dashboards
74,Project Phoenix Enhancement,Nestle,2023-07-06,2025-05-18,Proposed,North America,Banking,Core banking overhaul
75,Project Helios Migration,JP Morgan Chase,2023-08-30,2025-05-30,Completed,Europe,Telecom,Core banking overhaul
76,Project Nova Integration,Wells Fargo,2022-08-02,2024-08-26,Completed,North America,Technology,Analytics dashboards
77,Project Titan Expansion,Volkswagen,2021-03-18,2022-01-02,Proposed,North America,Technology,Data center consolidation
78,Project Helios Enhancement,Visa,2021-05-06,2023-08-22,Proposed,North America,Automotive,Upgrading legacy systems
79,Project Vantage Migration,ExxonMobil,2022-05-14,2025-01-18,Delayed,Europe,Healthcare,Data center consolidation
80,Project Gemini Integration,Samsung,2023-11-06,2024-01-07,Cancelled,Europe,Healthcare,Data center consolidation
81,Project Vantage Expansion,Amazon,2022-11-07,2023-08-09,Cancelled,APAC,Technology,Cloud migration project
82,Project Helios Integration,Novartis,2020-10-05,2022-03-26,Delayed,North America,Telecom,Analytics dashboards
83,Project Helios Upgrade,Apple,2022-12-03,2023-05-03,Completed,Middle East,Banking,E-commerce platform integration
84,Project Nova Expansion,AT&T,2022-04-04,2023-05-30,Delayed,Europe,Energy,Core banking overhaul
85,Project Vantage Analytics,Nestle,2023-03-16,2025-10-12,Delayed,Europe,Automotive,Core banking overhaul
86,Project Titan Expansion,Banco Santander,2021-04-14,2024-08-02,Delayed,APAC,Automotive,Global ERP rollout
87,Project Atlas Integration,Deutsche Telekom,2021-05-25,2022-01-02,On Track,Europe,Technology,Analytics dashboards
88,Project Gemini Migration,Banco Santander,2022-11-30,2025-02-23,On Track,Latin America,Healthcare,Analytics dashboards
89,Project Orion Analytics,Sony,2020-02-16,2022-05-08,On Track,North America,Retail,Mobile app redevelopment
90,Project Gemini Migration,Novartis,2023-03-13,2023-05-02,Completed,Latin America,Insurance,E-commerce platform integration
91,Project Atlas Integration,American Express,2020-03-03,2023-05-10,Delayed,North America,Retail,Analytics dashboards
92,Project Nova Expansion,Walmart,2021-10-02,2025-05-17,On Track,Latin America,Automotive,E-commerce platform integration
93,Project Helios Migration,Walmart,2020-06-05,2022-11-05,Delayed,APAC,Energy,Analytics dashboards
94,Project Titan Enhancement,Pfizer,2021-10-27,2023-06-30,Completed,Latin America,Telecom,Cloud migration project
95,Project Titan Enhancement,Samsung,2021-09-25,2023-03-23,Cancelled,Latin America,Insurance,Upgrading legacy systems
96,Project Gemini Enhancement,Repsol,2020-12-14,2022-02-03,On Track,Europe,Insurance,Analytics dashboards
97,Project Helios Upgrade,AT&T,2020-09-26,2021-08-06,Delayed,North America,Automotive,Global ERP rollout
98,Project Titan Enhancement,AT&T,2022-10-16,2023-04-30,Proposed,North America,Automotive,Analytics dashboards
99,Project Orion Integration,Amazon,2020-03-24,2025-02-10,Proposed,Africa,Banking,Cloud migration project
100,Project Orion Upgrade,AT&T,2022-06-24,2024-12-26,Cancelled,Middle East,Healthcare,Global ERP rollout
101,Project Phoenix Upgrade,Sony,2022-11-16,2025-10-17,Cancelled,North America,Retail,Cloud migration project
102,Project Helios Expansion,Novartis,2020-10-26,2024-01-25,Cancelled,Europe,Retail,Upgrading legacy systems
103,Project Vantage Analytics,Walmart,2020-10-18,2023-12-05,Proposed,Middle East,Telecom,Data center consolidation
104,Project Orion Integration,Visa,2023-07-13,2024-10-01,Completed,Europe,Banking,Analytics dashboards
105,Project Nova Expansion,SAP,2020-01-02,2023-05-29,Completed,Africa,Technology,Cloud migration project
106,Project Titan Expansion,Pfizer,2022-10-30,2025-05-08,Proposed,Europe,Healthcare,Core banking overhaul
107,Project Atlas Enhancement,Banco Santander,2022-12-15,2023-06-10,On Track,APAC,Telecom,E-commerce platform integration
108,Project Titan Expansion,British Telecom,2020-08-26,2021-02-13,Completed,Africa,Insurance,Cloud migration project
109,Project Gemini Analytics,Coca-Cola,2022-10-20,2025-02-12,Completed,Africa,Automotive,Data center consolidation
110,Project Titan Migration,Deutsche Telekom,2022-05-23,2024-12-11,On Track,North America,Healthcare,Cloud migration project
111,Project Phoenix Integration,Volkswagen,2021-05-02,2024-03-02,On Track,APAC,Technology,Data center consolidation
112,Project Vantage Migration,Novartis,2023-05-22,2025-10-07,Completed,Middle East,Telecom,E-commerce platform integration
113,Project Orion Expansion,Samsung,2023-06-06,2025-05-06,Completed,Europe,Automotive,Core banking overhaul
114,Project Nova Expansion,Repsol,2022-03-03,2025-01-31,On Track,North America,Technology,Global ERP rollout
115,Project Atlas Analytics,AT&T,2022-11-29,2025-09-05,Cancelled,Latin America,Automotive,E-commerce platform integration
116,Project Gemini Expansion,Banco Santander,2020-03-27,2022-10-10,Proposed,North America,Telecom,Upgrading legacy systems
117,Project Vantage Enhancement,IBM,2023-09-07,2023-10-29,Cancelled,APAC,Insurance,Mobile app redevelopment
118,Project Orion Enhancement,Deutsche Telekom,2022-08-11,2024-05-21,Proposed,Europe,Automotive,Upgrading legacy systems
119,Project Nova Upgrade,Emirates,2023-04-16,2023-09-03,Completed,Africa,Retail,Mobile app redevelopment
120,Project Helios Upgrade,British Telecom,2020-04-19,2025-11-10,Completed,APAC,Banking,Data center consolidation
121,Project Vantage Enhancement,JP Morgan Chase,2021-02-21,2022-01-17,Delayed,Latin America,Retail,Data center consolidation
122,Project Phoenix Integration,Wells Fargo,2023-05-01,2023-10-23,On Track,Europe,Healthcare,Global ERP rollout
123,Project Gemini Migration,Microsoft,2020-04-16,2023-01-03,On Track,North America,Banking,Global ERP rollout
124,Project Nova Expansion,Coca-Cola,2020-08-06,2021-10-09,On Track,Middle East,Banking,Cloud migration project
125,Project Orion Enhancement,Coca-Cola,2021-09-30,2023-03-08,On Track,Latin America,Telecom,Analytics dashboards
126,Project Gemini Analytics,Banco Santander,2023-01-17,2024-04-19,Completed,Europe,Energy,Data center consolidation
127,Project Atlas Enhancement,HSBC,2023-07-27,2025-02-19,Proposed,APAC,Technology,E-commerce platform integration
128,Project Helios Integration,Pfizer,2022-10-27,2025-09-19,On Track,Middle East,Banking,Mobile app redevelopment
129,Project Atlas Analytics,Pfizer,2020-06-18,2025-05-12,On Track,Middle East,Energy,Global ERP rollout
130,Project Vantage Integration,British Telecom,2020-10-06,2022-06-12,Completed,Middle East,Banking,Data center consolidation
131,Project Atlas Upgrade,Deutsche Telekom,2023-10-10,2024-09-18,Proposed,Latin America,Energy,Upgrading legacy systems
132,Project Vantage Expansion,Deutsche Telekom,2022-04-25,2024-07-24,Delayed,Latin America,Energy,Upgrading legacy systems
133,Project Phoenix Analytics,JP Morgan Chase,2020-05-28,2024-02-28,On Track,Latin America,Energy,E-commerce platform integration
134,Project Nova Expansion,Deutsche Telekom,2020-01-13,2024-10-23,Proposed,Africa,Healthcare,Core banking overhaul
135,Project Helios Enhancement,American Express,2021-09-10,2025-10-27,Cancelled,Africa,Banking,Cloud migration project
136,Project Titan Expansion,Amazon,2022-02-19,2023-04-26,Delayed,APAC,Technology,Global ERP rollout
137,Project Atlas Migration,Deutsche Telekom,2021-11-10,2023-03-05,Cancelled,APAC,Retail,Global ERP rollout
138,Project Helios Migration,Ford,2022-04-22,2022-06-12,On Track,APAC,Retail,Mobile app redevelopment
139,Project Nova Migration,IBM,2020-03-27,2023-09-04,Delayed,APAC,Banking,Upgrading legacy systems
140,Project Gemini Upgrade,HSBC,2021-12-16,2025-08-01,Cancelled,Africa,Insurance,Global ERP rollout
141,Project Helios Integration,Pfizer,2022-07-14,2025-07-31,Proposed,Africa,Technology,Data center consolidation
142,Project Titan Expansion,British Telecom,2021-12-05,2025-01-02,Proposed,Middle East,Energy,Cloud migration project
143,Project Orion Analytics,Banco Santander,2022-03-15,2024-07-03,Proposed,Latin America,Energy,Data center consolidation
144,Project Vantage Enhancement,ExxonMobil,2022-12-31,2025-07-04,Delayed,North America,Banking,Cloud migration project
145,Project Helios Migration,Repsol,2023-03-02,2024-06-09,On Track,Europe,Banking,Cloud migration project
146,Project Titan Integration,JP Morgan Chase,2020-07-23,2021-03-27,On Track,Africa,Automotive,Mobile app redevelopment
147,Project Orion Upgrade,AT&T,2021-07-15,2023-04-01,On Track,Latin America,Technology,Core banking overhaul
148,Project Helios Analytics,Amazon,2022-04-26,2025-01-12,Cancelled,Africa,Retail,Data center consolidation
149,Project Gemini Upgrade,Volkswagen,2020-01-10,2023-08-06,Delayed,North America,Telecom,Global ERP rollout
150,Project Orion Migration,Vodafone,2020-05-06,2020-10-27,On Track,Middle East,Retail,Cloud migration project
151,Project Orion Migration,SAP,2021-07-08,2025-08-24,On Track,APAC,Telecom,Data center consolidation
152,Project Orion Integration,Volkswagen,2023-10-23,2024-01-22,Completed,Latin America,Healthcare,Analytics dashboards
153,Project Helios Upgrade,Amazon,2022-07-12,2022-10-24,Proposed,Middle East,Technology,Mobile app redevelopment
154,Project Phoenix Migration,AT&T,2022-03-08,2024-02-12,Proposed,Africa,Banking,Global ERP rollout
155,Project Helios Migration,HSBC,2023-01-16,2024-11-30,Delayed,North America,Healthcare,Core banking overhaul
156,Project Nova Enhancement,Emirates,2020-04-04,2020-12-30,On Track,Middle East,Energy,E-commerce platform integration
157,Project Phoenix Integration,SAP,2021-11-04,2022-03-15,On Track,APAC,Automotive,Cloud migration project
158,Project Atlas Integration,Vodafone,2022-05-17,2023-02-07,On Track,North America,Healthcare,Analytics dashboards
159,Project Vantage Upgrade,Ford,2020-02-29,2025-08-15,Proposed,Latin America,Healthcare,Core banking overhaul
160,Project Phoenix Enhancement,Samsung,2022-11-02,2023-10-19,Completed,Latin America,Healthcare,E-commerce platform integration
161,Project Orion Integration,AT&T,2023-06-08,2023-12-15,Completed,Europe,Banking,E-commerce platform integration
162,Project Gemini Analytics,Wells Fargo,2021-11-20,2023-03-20,Proposed,APAC,Automotive,Upgrading legacy systems
163,Project Nova Analytics,AT&T,2023-10-04,2024-01-06,Delayed,APAC,Banking,Mobile app redevelopment
164,Project Helios Integration,SAP,2020-01-10,2024-01-04,On Track,Africa,Retail,Upgrading legacy systems
165,Project Helios Upgrade,Pfizer,2022-10-03,2023-07-03,On Track,APAC,Energy,Upgrading legacy systems
166,Project Nova Migration,Walmart,2021-02-25,2025-03-02,Delayed,Latin America,Energy,Analytics dashboards
167,Project Nova Analytics,ExxonMobil,2023-11-13,2025-03-24,On Track,Middle East,Healthcare,Global ERP rollout
168,Project Helios Upgrade,Microsoft,2023-02-19,2025-10-06,Proposed,Latin America,Healthcare,Core banking overhaul
169,Project Helios Enhancement,Coca-Cola,2023-03-23,2023-10-21,Completed,Europe,Healthcare,E-commerce platform integration
170,Project Nova Expansion,HSBC,2021-07-22,2022-07-29,Completed,Africa,Automotive,Core banking overhaul
171,Project Vantage Enhancement,HSBC,2022-02-08,2022-09-21,Cancelled,Africa,Telecom,Mobile app redevelopment
172,Project Atlas Enhancement,JP Morgan Chase,2022-05-06,2024-09-13,Proposed,North America,Insurance,Cloud migration project
173,Project Helios Analytics,Coca-Cola,2021-05-08,2022-04-24,On Track,Africa,Technology,Mobile app redevelopment
174,Project Nova Enhancement,Banco Santander,2022-05-08,2023-02-19,Cancelled,North America,Healthcare,Analytics dashboards
175,Project Atlas Expansion,Apple,2021-05-11,2023-03-20,Delayed,Middle East,Telecom,Core banking overhaul
176,Project Atlas Analytics,HSBC,2021-10-28,2022-07-16,Completed,Latin America,Energy,Analytics dashboards
177,Project Titan Expansion,Pfizer,2020-01-16,2024-04-04,Proposed,Latin America,Automotive,Analytics dashboards
178,Project Gemini Expansion,HSBC,2021-03-10,2022-04-14,Proposed,Latin America,Insurance,E-commerce platform integration
179,Project Vantage Enhancement,Walmart,2021-05-15,2021-06-24,Proposed,Africa,Technology,Upgrading legacy systems
180,Project Helios Analytics,AT&T,2022-12-08,2025-10-10,Completed,APAC,Insurance,Data center consolidation
181,Project Titan Integration,JP Morgan Chase,2021-06-04,2022-06-26,Cancelled,Latin America,Telecom,Data center consolidation
182,Project Gemini Enhancement,Banco Santander,2020-04-03,2022-06-01,Delayed,Europe,Technology,Data center consolidation
183,Project Titan Enhancement,Novartis,2023-11-11,2024-12-29,Cancelled,North America,Telecom,Core banking overhaul
184,Project Nova Analytics,Amazon,2021-08-03,2024-08-17,Cancelled,Middle East,Energy,Data center consolidation
185,Project Nova Upgrade,Wells Fargo,2022-11-21,2024-12-31,Completed,APAC,Telecom,Upgrading legacy systems
186,Project Phoenix Migration,Vodafone,2022-11-25,2023-07-17,Completed,Latin America,Banking,Core banking overhaul
187,Project Titan Migration,American Express,2023-08-04,2025-01-25,Proposed,Africa,Energy,Global ERP rollout
188,Project Orion Integration,Banco Santander,2020-08-04,2023-09-15,Cancelled,North America,Banking,Cloud migration project
189,Project Vantage Enhancement,Walmart,2020-07-06,2024-08-25,Proposed,North America,Energy,Analytics dashboards
190,Project Gemini Expansion,American Express,2022-09-24,2023-04-15,Proposed,Europe,Energy,Core banking overhaul
191,Project Atlas Enhancement,Pfizer,2020-04-12,2023-07-28,Proposed,Latin America,Banking,Upgrading legacy systems
192,Project Titan Enhancement,Wells Fargo,2020-08-17,2022-05-17,Delayed,Europe,Banking,Mobile app redevelopment
193,Project Atlas Integration,Repsol,2020-06-26,2025-02-27,On Track,North America,Automotive,Core banking overhaul
194,Project Titan Integration,Apple,2023-04-12,2023-11-18,Completed,North America,Technology,E-commerce platform integration
195,Project Nova Enhancement,Walmart,2023-01-02,2024-01-28,Delayed,Latin America,Energy,Global ERP rollout
196,Project Titan Analytics,Emirates,2022-06-29,2024-02-05,Completed,Europe,Telecom,Analytics dashboards
197,Project Helios Enhancement,Coca-Cola,2021-08-07,2022-08-11,Proposed,Latin America,Energy,Data center consolidation
198,Project Titan Enhancement,Visa,2020-06-17,2021-09-14,Completed,Latin America,Insurance,Core banking overhaul
199,Project Helios Expansion,IBM,2021-08-19,2021-08-28,Proposed,Europe,Insurance,E-commerce platform integration
200,Project Helios Expansion,Banco Santander,2022-05-20,2023-10-06,Completed,APAC,Insurance,Mobile app redevelopment
201,Project Gemini Enhancement,Vodafone,2023-07-26,2023-09-23,Delayed,APAC,Healthcare,Upgrading legacy systems
202,Project Helios Upgrade,AT&T,2021-07-12,2023-09-30,Completed,Europe,Telecom,Mobile app redevelopment
203,Project Titan Migration,Nestle,2020-05-15,2020-07-17,Delayed,Europe,Automotive,E-commerce platform integration
204,Project Titan Expansion,Emirates,2023-01-29,2024-05-05,Proposed,Middle East,Energy,E-commerce platform integration
205,Project Atlas Upgrade,Amazon,2022-09-01,2024-12-17,Cancelled,Europe,Banking,Mobile app redevelopment
206,Project Nova Integration,AT&T,2022-12-05,2024-09-06,Delayed,Latin America,Retail,Cloud migration project
207,Project Phoenix Enhancement,Nestle,2021-02-03,2025-08-06,Completed,Latin America,Insurance,Upgrading legacy systems
208,Project Gemini Integration,Samsung,2021-04-29,2023-05-10,Proposed,APAC,Technology,Mobile app redevelopment
209,Project Nova Enhancement,Deutsche Telekom,2022-12-06,2023-02-02,Proposed,Europe,Healthcare,Analytics dashboards
210,Project Nova Integration,Emirates,2023-08-25,2024-08-30,On Track,Middle East,Telecom,Data center consolidation
211,Project Atlas Expansion,Apple,2021-02-23,2023-11-07,Completed,Europe,Retail,Data center consolidation
212,Project Atlas Upgrade,Repsol,2023-07-09,2024-07-07,Proposed,APAC,Insurance,Upgrading legacy systems
213,Project Gemini Analytics,British Telecom,2023-03-13,2025-06-08,Proposed,APAC,Telecom,E-commerce platform integration
214,Project Vantage Enhancement,Walmart,2023-10-02,2024-03-13,Completed,Latin America,Telecom,Cloud migration project
215,Project Titan Migration,Wells Fargo,2023-01-30,2023-07-21,Completed,Middle East,Retail,E-commerce platform integration
216,Project Helios Analytics,SAP,2021-09-19,2023-08-06,Cancelled,APAC,Automotive,Data center consolidation
217,Project Atlas Analytics,Coca-Cola,2021-09-21,2023-11-03,Delayed,Middle East,Insurance,Upgrading legacy systems
218,Project Nova Integration,Deutsche Telekom,2022-04-23,2025-06-11,Delayed,Africa,Banking,Global ERP rollout
219,Project Nova Enhancement,Volkswagen,2021-12-21,2025-12-22,Delayed,Latin America,Telecom,Mobile app redevelopment
220,Project Phoenix Enhancement,IBM,2020-09-21,2022-06-08,On Track,North America,Automotive,Mobile app redevelopment
221,Project Phoenix Analytics,AT&T,2022-08-11,2024-10-26,On Track,Europe,Automotive,Core banking overhaul
222,Project Vantage Enhancement,AT&T,2021-11-23,2022-09-01,Proposed,Africa,Healthcare,Core banking overhaul
223,Project Gemini Expansion,Samsung,2022-03-14,2024-11-29,Proposed,Middle East,Automotive,Core banking overhaul
224,Project Vantage Expansion,Coca-Cola,2023-12-11,2025-05-18,Cancelled,North America,Energy,E-commerce platform integration
225,Project Orion Analytics,Visa,2021-11-16,2023-10-13,Completed,Europe,Banking,Global ERP rollout
226,Project Titan Enhancement,Novartis,2021-11-09,2022-09-09,Proposed,Middle East,Technology,Cloud migration project
227,Project Atlas Enhancement,American Express,2022-06-28,2025-08-31,Proposed,Africa,Healthcare,Upgrading legacy systems
228,Project Gemini Analytics,Repsol,2020-05-23,2025-04-19,Cancelled,North America,Retail,Data center consolidation
229,Project Phoenix Enhancement,Sony,2020-05-27,2022-02-27,Cancelled,North America,Healthcare,Data center consolidation
230,Project Gemini Migration,Amazon,2020-09-27,2020-12-01,Proposed,North America,Automotive,Mobile app redevelopment
231,Project Orion Expansion,Sony,2022-03-28,2025-10-07,Proposed,Latin America,Banking,E-commerce platform integration
232,Project Vantage Upgrade,Wells Fargo,2022-06-16,2023-08-04,Cancelled,Africa,Insurance,Global ERP rollout
233,Project Atlas Upgrade,HSBC,2020-05-08,2023-10-07,Delayed,Europe,Automotive,Upgrading legacy systems
234,Project Phoenix Upgrade,Novartis,2023-09-29,2023-11-06,Delayed,North America,Technology,Analytics dashboards
235,Project Vantage Analytics,Ford,2020-01-23,2022-12-02,Cancelled,Europe,Insurance,Core banking overhaul
236,Project Helios Migration,Novartis,2021-04-17,2021-11-24,On Track,APAC,Healthcare,Cloud migration project
237,Project Vantage Migration,Coca-Cola,2023-04-25,2025-09-22,Cancelled,North America,Energy,Mobile app redevelopment
238,Project Nova Integration,SAP,2020-11-28,2022-02-11,Delayed,Europe,Technology,Cloud migration project
239,Project Vantage Expansion,Samsung,2021-08-22,2025-06-11,On Track,North America,Technology,Analytics dashboards
240,Project Gemini Integration,IBM,2022-05-18,2023-03-30,Cancelled,Latin America,Automotive,Data center consolidation
241,Project Nova Expansion,Deutsche Telekom,2023-02-14,2025-11-11,On Track,APAC,Telecom,Cloud migration project
242,Project Phoenix Analytics,Amazon,2021-09-05,2023-11-17,Cancelled,APAC,Telecom,E-commerce platform integration
243,Project Helios Enhancement,Ford,2023-11-25,2024-09-02,Cancelled,Latin America,Insurance,Cloud migration project
244,Project Vantage Upgrade,ExxonMobil,2020-05-05,2023-03-10,On Track,APAC,Healthcare,E-commerce platform integration
245,Project Nova Integration,IBM,2022-12-17,2024-12-26,Cancelled,Latin America,Automotive,Analytics dashboards
246,Project Vantage Upgrade,Emirates,2020-09-29,2022-03-22,Cancelled,APAC,Banking,Mobile app redevelopment
247,Project Gemini Migration,Wells Fargo,2021-06-16,2022-05-20,On Track,Latin America,Healthcare,Data center consolidation
248,Project Nova Expansion,Coca-Cola,2020-10-13,2022-11-10,On Track,Africa,Telecom,Cloud migration project
249,Project Titan Migration,Pfizer,2020-11-19,2022-07-26,Proposed,Europe,Technology,Upgrading legacy systems
250,Project Atlas Upgrade,British Telecom,2022-01-21,2023-05-18,Completed,Middle East,Insurance,E-commerce platform integration
251,Project Phoenix Analytics,Nestle,2020-10-22,2025-02-06,Proposed,North America,Healthcare,E-commerce platform integration
